id,name,mechanism,example,hook_subject,topic,used_batch
12,Authority bias,"we assign more credibility to a claim simply because it comes from someone in a uniform, a title, or a position of authority","this is why a person in a lab coat is more persuasive, even off topic",a claim feels more true just because of who's saying it,Why does a claim feel more true just because of who's saying it?,
13,Primacy effect,information presented first in a list or conversation is remembered better than what comes in the middle,first impressions stick harder than anything said afterward,the first thing someone tells you sticks harder than the rest,Why does the first thing someone tells you stick harder than everything after it?,
14,Recency effect,"the most recently presented information is remembered best, right after the primacy effect fades",this is why the last item in a list often gets picked most,the last thing said in a meeting often gets remembered best,Why does the last thing said in a meeting often get remembered best?,
15,Von Restorff effect,an item that stands out from everything around it is remembered far better than the ones that blend in,this is why one red item on a shelf of gray ones gets picked first,the one different-looking option always grabs your attention first,Why does the one different-looking option always grab your attention first?,
16,Curse of knowledge,"once you understand something, it becomes hard to imagine what it's like not to know it, making you a worse teacher",experts often give confusing directions because they forgot what confusion feels like,experts give the worst directions because they forgot what confusion feels like,"Why do experts often give the worst directions, because they forgot what confusion feels like?",
17,Illusory truth effect,"repeating a false statement enough times makes it feel true, purely from familiarity, not evidence",propaganda relies on repetition more than persuasion,a lie starts to feel true the more times you simply hear it,Why does a lie start to feel true the more times you simply hear it?,
18,Backfire effect,being shown evidence that contradicts a belief can make some people cling to that belief even harder,"fact-checking someone sometimes makes them more certain, not less",correcting someone's mistake sometimes makes them believe it more,Why does correcting someone's mistake sometimes make them believe it even more?,
19,Optimism bias,"most people believe they're less likely than average to experience bad outcomes, like divorce or job loss",this is part of why people underestimate their own risk in almost everything,you assume bad statistics apply to everyone except you,Why do you assume bad statistics apply to everyone except you?,
20,Planning fallacy,"people consistently underestimate how long a task will take, even when they've been wrong about the same thing before",this is why almost every renovation project runs over both budget and schedule,"every project takes longer than you planned, even the ones you've done before","Why does every project take longer than you planned, even ones you've done before?",
21,Cognitive dissonance,"holding two conflicting beliefs creates real mental discomfort, which we resolve by quietly changing one of the beliefs, not our behavior",smokers who know the risks often downplay the statistics instead of quitting,you rewrite your own beliefs before admitting a decision was wrong,Why do you rewrite your own beliefs before ever admitting a decision was wrong?,
22,Effort justification,"the more painful or costly something was to obtain, the more we convince ourselves it was worth it","brutal fraternity hazing makes members value the group more, not less",you convince yourself something was worth it just because it was hard to get,Why do you convince yourself something was worth it just because it was hard to get?,
23,Psychological reactance,"being told you can't have or do something makes you want it more, purely because your freedom feels threatened",banning something is often the fastest way to make people want it,telling someone they can't have something makes them want it more,Why does telling someone they can't have something make them want it more?,
24,Gambler's fallacy,"believing that past random outcomes influence future ones, like assuming a coin is due for heads after several tails",roulette players bet heavily after a long losing streak for exactly this reason,"you feel like a coin is due for heads after several tails, even though it isn't","Why do you feel like a coin is due for heads after several tails, even though it isn't?",
25,Hot-hand fallacy,"believing a streak of success makes more success more likely, even in situations that are actually random",basketball fans swear a player is on fire during a hot streak,"you believe someone's on a hot streak, even when each shot is statistically independent","Why do you believe someone's on a hot streak, even when each shot is independent?",
26,Clustering illusion,"the human brain finds patterns in truly random data, because scattered randomness doesn't match our expectation of what random looks like",real random data always looks clumpier than people expect,random data always looks more clumped than real randomness should,Why does random data always look more clumped than real randomness actually is?,
27,Decoy effect,"adding a clearly worse third option changes which of the other two choices seems better, without changing either option itself",a medium popcorn priced near the large makes the large feel like a steal,a deliberately bad third option can make one of the other two look like a steal,Why does a deliberately bad third option make one of the other two look like a steal?,
28,Default effect,"people overwhelmingly stick with whatever option is pre-selected for them, even when changing it would take seconds",opt-out retirement plans get far more signups than opt-in ones,whatever option is pre-selected for you is the one you're most likely to keep,Why does whatever option is pre-selected for you become the one you're most likely to keep?,
29,Ambiguity aversion,"people prefer a known risk over an unknown one, even when the unknown option might statistically be better",people pick a familiar bad option over an unfamiliar uncertain one,"you choose a known risk over an unknown one, even when the unknown one is better","Why do you choose a known risk over an unknown one, even when the unknown one is better?",
30,Present bias,people consistently overvalue immediate rewards compared to larger rewards that are only slightly delayed,this is why saving for retirement feels so much harder than it should,a smaller reward right now can feel better than a bigger reward just a little later,Why does a smaller reward right now feel better than a bigger reward just a little later?,
31,Affect heuristic,quick emotional reactions shape our judgment of risk and benefit before we've consciously reasoned anything out,things that feel scary get judged as more dangerous than the data supports,your gut feeling about something shapes your judgment before you've reasoned about it,Why does your gut feeling shape your judgment before you've actually reasoned about anything?,
32,Horn effect,one negative trait about a person can unfairly taint how we judge every other unrelated trait about them,"this is the mirror opposite of the halo effect, working just as fast",one bad trait can make someone seem worse at everything else too,"Why does one bad trait make someone seem worse at everything else too, unfairly?",
33,Overjustification effect,adding an external reward for something you already enjoyed doing can quietly kill your internal motivation to do it,kids who get paid to draw often draw less once the payments stop,paying someone for a hobby they already loved can make them enjoy it less,Why does paying someone for a hobby they already loved make them enjoy it less?,
34,Labeling effect,"giving someone a label, positive or negative, changes how they see themselves and often changes their actual behavior to match it",calling a kid the smart one can shape their identity for years,"calling someone a label, even a kind one, can quietly shape who they become","Why does calling someone a label, even a kind one, quietly shape who they become?",
35,Self-fulfilling prophecy,expecting a certain outcome can unconsciously change your behavior in ways that make that outcome more likely to happen,"if you expect a meeting to go badly, you unconsciously behave in ways that make it go badly",expecting something to go badly can quietly make it go badly,Why does expecting something to go badly quietly make it more likely to go badly?,
36,Pygmalion effect,"when someone in authority expects more from you, they treat you differently in small ways that actually raise your performance","teachers told a class was gifted saw real, measurable score improvements",a teacher expecting more from you can actually raise your performance,Why does a teacher simply expecting more from you actually raise your performance?,
37,Stereotype threat,reminding someone of a negative stereotype about their group right before a task can measurably hurt their performance on it,this happens even when the stereotype is one the person doesn't personally believe,being reminded of a stereotype about your group can hurt your performance,Why does being reminded of a stereotype about your group hurt your performance on a task?,
38,Illusion of transparency,we consistently overestimate how obvious our own internal emotions are to the people watching us,your nervousness feels blazing obvious to you and almost invisible to everyone else,your nervousness feels obvious to you and almost invisible to everyone watching,Why does your nervousness feel obvious to you and invisible to everyone watching?,
39,False consensus effect,"people overestimate how much other people agree with their own opinions, habits, and choices",this is why everyone assumes their political views are the normal ones,you assume way more people agree with you than actually do,Why do you assume way more people agree with you than actually do?,
40,Diderot effect,"acquiring one new nice thing creates a craving to upgrade everything around it to match, spiraling into unplanned spending",a new couch suddenly makes the old rug and lamps look shabby by comparison,one new nice thing can make everything around it suddenly look shabby,Why does one new nice thing make everything around it suddenly look shabby?,
41,Streisand effect,trying to hide or suppress information often draws far more attention to it than if it had just been ignored,this is named after an attempt to censor a photo that backfired spectacularly,trying to hide something can be exactly what makes everyone notice it,Why does trying to hide something sometimes make everyone notice it even more?,
42,Baader-Meinhof phenomenon,"after you first notice something, your brain starts spotting it everywhere, because it's now primed to look for it, not because it's more common",buy a certain car and suddenly you see that model everywhere,a word you just learned suddenly seems to show up everywhere afterward,Why does a word you just learned suddenly seem to show up everywhere afterward?,
43,Illusory superiority,"most people rate themselves as above average on nearly every desirable trait, which is mathematically impossible for most people","most people think they're more ethical, smarter, and more skilled than average",almost everyone secretly believes they're more ethical than average,Why does almost everyone secretly believe they're more ethical than the average person?,
44,Naive realism,"we assume our own perception of a situation is the objective truth, and anyone who disagrees must be biased, uninformed, or lying",two people can watch the same event and both feel certain the other is wrong,two people can watch the exact same event and both feel certain they saw the truth,Why can two people watch the exact same event and both feel certain they saw the truth?,
45,Actor-observer bias,"we explain our own actions by the situation, but explain other people's identical actions by their personality","you were stressed, they were just rude, for the exact same behavior","the exact same rude comment gets blamed on stress in you, and character in someone else","Why does the exact same rude comment get blamed on stress in you, but character in someone else?",
46,Egocentric bias,we remember and recount past events in ways that quietly inflate our own role and contribution,in group projects almost everyone privately estimates they did more than their fair share,everyone on a team privately believes they did more than their fair share,Why does everyone on a team privately believe they did more than their fair share?,
47,Rosy retrospection,past experiences are remembered as more pleasant than they actually felt while they were happening,the good old days always feel better in memory than they did in reality,the good old days always feel better in memory than they actually did,Why do the good old days always feel better in memory than they actually did at the time?,
48,Trait ascription bias,"we see ourselves as flexible and shaped by context, but see other people as having fixed, consistent personality traits","you think you're complicated, but assume everyone else is simply their type","you see yourself as complicated, but everyone else as simply their type","Why do you see yourself as complicated, but everyone else as simply their type?",
49,Social desirability bias,"people shade their answers on surveys and in conversation toward what sounds good, not what's actually true",self-reported exercise and income are notoriously inflated in surveys,people's self-reported habits are almost always a little more flattering than reality,Why are people's self-reported habits almost always a little more flattering than reality?,
50,Denomination effect,the same amount of money feels easier to spend when it's in small bills or coins than when it's in one large bill,a pocket full of change disappears faster than a single big bill worth the same,loose change disappears faster than a big bill worth the exact same amount,Why does loose change disappear faster than a big bill worth the exact same amount?,
51,Mental accounting,"people treat money differently depending on which mental bucket it came from, even though all money is interchangeable",a tax refund gets spent freely in a way an equal amount of salary never would,a tax refund gets spent freely in a way the same amount of salary never would,Why does a tax refund get spent freely in a way the same amount of salary never would?,
52,Survivorship bias,"we judge success by studying only the people who made it, ignoring the much larger group who tried the same thing and failed",self-made success advice ignores everyone who did the same things and failed,"success advice mostly comes from the few who made it, never the many who tried and failed","Why does success advice mostly come from the few who made it, and never the many who tried?",
53,Negativity bias,the brain gives more weight and attention to negative information than to positive information of equal size,one bad review can outweigh fifty good ones sitting right next to it,one bad review can outweigh fifty good ones sitting right next to it,Why does one bad review outweigh fifty good ones sitting right next to it?,
54,Empathy gap,we consistently underestimate how much our current emotional state will influence our future decisions,shopping hungry or deciding while angry both quietly warp your judgment more than expected,the emotional state you're in right now quietly warps decisions you think are rational,Why does the emotional state you're in right now quietly warp decisions you think are purely rational?,
55,Cheerleader effect,individual faces are judged as more attractive when seen as part of a group than when seen alone,this is part of why group photos flatter people more than solo ones do,a face looks more attractive in a group photo than it does completely alone,Why does a face look more attractive in a group photo than it does completely alone?,
56,Priming effect,"exposure to one stimulus quietly changes how you respond to a related stimulus that comes right after it, without you noticing",reading words related to old age can measurably make people walk slower afterward,reading a few age-related words can make people walk slower minutes later,Why does reading a few age-related words make people walk slower minutes later?,
57,Door-in-the-face technique,opening with a request so large it's guaranteed to be refused makes a smaller follow-up request far more likely to be accepted,"asking for a huge favor first makes the real, smaller favor feel reasonable by comparison",a huge request that gets refused makes the smaller request right after it feel reasonable,Why does a refused huge request make the smaller request right after it feel so reasonable?,
58,Recognition heuristic,"when comparing two options, we assume the one we simply recognize is better, safer, or more important, purely from familiarity",a familiar brand name outsells a better but unknown product for this reason,a brand name you simply recognize can beat a better product you've never heard of,Why does a brand name you simply recognize beat a better product you've never heard of?,
59,Ostrich effect,"people actively avoid checking information that might be unpleasant, like a bank balance or a medical result, purely to avoid the discomfort",people delay opening bills they suspect are bad news for exactly this reason,"avoiding a bank balance or a scale only delays the discomfort, it doesn't prevent it","Why does avoiding a bank balance or a scale only delay the discomfort, not prevent it?",
60,Groupthink,"the desire for harmony inside a group can override each member's better judgment, making everyone quietly agree to a plan nobody individually supports",this is part of how obviously bad decisions get approved unanimously in meetings,a group can unanimously agree to a plan that not one member actually supports,Why does a group sometimes unanimously agree to a plan that nobody in it actually supports?,
